epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06313,1.77786,3.51198,1.73109,0.00643,0.93333,0.25904,0.17138,1.12802,3.08293,1.16495,0.00021435,0.00021435,0.00021435
2,6.66051,1.42462,2.03565,1.37437,0.00658,0.93333,0.48826,0.35067,0.95746,2.59591,1.0198,0.000434219,0.000434219,0.000434219
3,9.1268,1.31645,1.60112,1.26352,1,0.32178,0.51563,0.38821,0.92383,2.40859,1.03847,0.000645033,0.000645033,0.000645033
4,11.0952,1.28141,1.43496,1.23089,0.89499,0.38095,0.7183,0.40368,1.18071,2.13007,1.15418,0.000846794,0.000846794,0.000846794
5,13.1423,1.22851,1.34426,1.22245,0.93928,0.46525,0.70603,0.4653,1.08355,2.01507,1.1199,0.0010395,0.0010395,0.0010395
6,15.1841,1.21744,1.29087,1.24247,0.96472,0.41892,0.68838,0.50254,0.97541,2.0521,1.06122,0.00122315,0.00122315,0.00122315
7,17.1396,1.18304,1.1949,1.21473,0.89955,0.50675,0.78861,0.57284,1.02901,1.47476,1.09322,0.00125923,0.00125923,0.00125923
8,19.9129,1.18527,1.21437,1.21399,0.68047,0.84075,0.76855,0.56112,0.89631,1.34434,1.02595,0.00123094,0.00123094,0.00123094
9,22.56,1.13399,1.12741,1.18263,0.86734,0.59934,0.74038,0.54304,0.84939,1.55929,0.93984,0.00120265,0.00120265,0.00120265
10,24.9506,1.06291,1.01916,1.14069,0.72552,0.65551,0.69135,0.54464,0.72831,1.10527,0.93418,0.00117435,0.00117435,0.00117435
11,27.005,1.10158,1.01434,1.16347,0.64719,0.93333,0.79204,0.59398,0.77939,1.05573,0.96597,0.00114606,0.00114606,0.00114606
12,29.0754,1.07501,0.99553,1.15234,0.70163,0.82167,0.76419,0.58282,0.94394,1.43307,1.12489,0.00111776,0.00111776,0.00111776
13,30.9575,1.04817,0.95892,1.13578,0.66457,0.8276,0.67992,0.53904,0.75185,0.85523,0.957,0.00108947,0.00108947,0.00108947
14,33.5029,1.02718,0.93903,1.11451,0.93081,0.76667,0.76208,0.54817,1.16137,0.87941,1.1938,0.00106118,0.00106118,0.00106118
15,35.8807,0.94987,0.88385,1.07481,0.78698,0.76667,0.78763,0.57526,0.7903,0.71343,0.98128,0.00103288,0.00103288,0.00103288
16,38.9812,0.99613,0.85535,1.10858,0.60831,0.62564,0.74615,0.60891,0.76138,0.74422,0.95582,0.00100459,0.00100459,0.00100459
17,42.0567,0.95523,0.81553,1.10582,0.94606,0.59544,0.70087,0.54338,1.00343,0.84578,1.08667,0.000976293,0.000976293,0.000976293
18,44.0212,0.91428,0.79251,1.08304,0.93767,0.93333,0.92864,0.81977,0.71433,0.65539,0.94949,0.000947999,0.000947999,0.000947999
19,46.0413,0.98478,0.82152,1.10458,0.97785,0.89727,0.9203,0.6652,0.80052,0.65806,0.98936,0.000919704,0.000919704,0.000919704
20,48.4311,0.9183,0.77853,1.06044,0.97917,0.90482,0.92864,0.82049,0.6174,0.5301,0.90852,0.00089141,0.00089141,0.00089141
21,51.1955,0.92062,0.76581,1.06963,0.96348,0.92374,0.92865,0.71993,0.72475,0.50926,0.93405,0.000863116,0.000863116,0.000863116
22,53.4486,0.88994,0.7554,1.05009,0.94195,0.92743,0.9287,0.67143,0.74199,0.52661,0.97987,0.000834822,0.000834822,0.000834822
23,55.399,0.87938,0.71463,1.05905,0.85074,0.93333,0.87333,0.5776,0.88344,0.53402,1.02683,0.000806528,0.000806528,0.000806528
24,57.2705,0.87078,0.70046,1.05825,0.82737,0.93333,0.87327,0.60034,0.8205,0.50483,0.99585,0.000778233,0.000778233,0.000778233
25,59.1313,0.85638,0.68548,1.05439,0.8492,0.93333,0.87327,0.63353,0.77968,0.48448,0.98439,0.000749939,0.000749939,0.000749939
26,61.0732,0.8525,0.71256,1.06268,0.96724,0.92298,0.9288,0.66163,0.76311,0.50552,0.96989,0.000721645,0.000721645,0.000721645
27,63.6677,0.88258,0.67433,1.06822,0.99272,0.93333,0.92896,0.65096,0.78255,0.50294,1.00509,0.000693351,0.000693351,0.000693351
28,66.4402,0.83915,0.66258,1.04251,0.94682,0.92167,0.92908,0.68232,0.74931,0.50006,0.97709,0.000665057,0.000665057,0.000665057
29,69.3058,0.79157,0.59943,1.02095,0.90451,0.74071,0.82908,0.63558,0.69797,0.57426,0.9353,0.000636762,0.000636762,0.000636762
30,71.2346,0.80577,0.60621,1.03281,0.79851,0.93333,0.84557,0.6584,0.66239,0.56523,0.90436,0.000608468,0.000608468,0.000608468
31,73.0802,0.76133,0.58085,0.98903,0.94823,0.76281,0.8455,0.58792,0.77855,0.5185,0.95988,0.000580174,0.000580174,0.000580174
32,74.9834,0.79343,0.58073,1.02632,0.96797,0.76667,0.8733,0.62211,0.81494,0.47979,0.9873,0.00055188,0.00055188,0.00055188
33,77.0245,0.74412,0.57289,1.0034,0.98496,0.73819,0.87365,0.61184,0.80215,0.48994,0.97128,0.000523586,0.000523586,0.000523586
34,80.0862,0.77853,0.58405,1.00379,0.80446,0.91651,0.87427,0.6883,0.70492,0.48478,0.91706,0.000495291,0.000495291,0.000495291
35,82.8922,0.75724,0.5729,1.01088,0.95333,0.92202,0.93035,0.79952,0.63664,0.45445,0.89653,0.000466997,0.000466997,0.000466997
36,85.6632,0.74362,0.54759,0.99577,0.9552,0.92573,0.93081,0.79971,0.61413,0.46258,0.89973,0.000438703,0.000438703,0.000438703
37,87.582,0.71515,0.55118,0.99967,0.80346,0.93333,0.87578,0.7636,0.64206,0.46569,0.91766,0.000410409,0.000410409,0.000410409
38,89.4644,0.69915,0.53443,0.98014,0.89535,0.75877,0.83121,0.70804,0.66435,0.48787,0.90207,0.000382115,0.000382115,0.000382115
39,91.3208,0.68468,0.5316,0.96868,0.80164,0.90363,0.87537,0.76019,0.66031,0.49422,0.89947,0.00035382,0.00035382,0.00035382
40,94.0508,0.67026,0.50682,0.97411,0.90993,0.76667,0.83059,0.72154,0.62019,0.47329,0.8854,0.000325526,0.000325526,0.000325526
41,98.4828,0.61438,0.54491,0.91244,0.91124,0.76667,0.82979,0.72062,0.62126,0.48252,0.88252,0.000297232,0.000297232,0.000297232
42,101.257,0.58679,0.51124,0.91324,0.91847,0.76667,0.84635,0.73394,0.65089,0.46532,0.88482,0.000268938,0.000268938,0.000268938
43,103.152,0.56111,0.46778,0.89085,0.8335,0.9317,0.87403,0.7012,0.62496,0.45497,0.88072,0.000240644,0.000240644,0.000240644
44,104.98,0.53609,0.46237,0.88037,0.97494,0.93,0.92996,0.7066,0.61103,0.43737,0.88871,0.000212349,0.000212349,0.000212349
45,106.821,0.53011,0.44686,0.88336,0.984,0.93333,0.93045,0.67217,0.63858,0.41721,0.92423,0.000184055,0.000184055,0.000184055
46,109.694,0.51334,0.42931,0.88637,0.98094,0.93333,0.93081,0.69623,0.67906,0.41786,0.93581,0.000155761,0.000155761,0.000155761
47,112.842,0.52825,0.43387,0.88668,0.97845,0.93333,0.93028,0.67431,0.69558,0.42658,0.9515,0.000127467,0.000127467,0.000127467
48,115.484,0.50765,0.4269,0.87501,0.97183,0.93003,0.93046,0.6731,0.67058,0.41683,0.93692,9.91726e-05,9.91726e-05,9.91726e-05
49,117.332,0.50437,0.41785,0.85888,0.96977,0.92912,0.93054,0.68337,0.66412,0.42023,0.93449,7.08784e-05,7.08784e-05,7.08784e-05
50,119.375,0.49677,0.42239,0.87545,0.97501,0.93179,0.93121,0.67998,0.67487,0.42683,0.94408,4.25842e-05,4.25842e-05,4.25842e-05
